Wave   ;IRR_bright_10cm
532.88000;0.00231
533.46000;0.00228
534.05000;0.00227
534.63000;0.00227
535.22000;0.00227
535.80000;0.00227
536.39000;0.00227
536.97000;0.00226
537.56000;0.00220
538.14000;0.00216
538.73000;0.00215
539.31000;0.00218
539.89000;0.00217
540.48000;0.00216
541.06000;0.00214
541.65000;0.00212
542.23000;0.00210
542.82000;0.00208
543.40000;0.00202
543.99000;0.00201
544.57000;0.00198
545.15000;0.00202
545.74000;0.00202
546.32000;0.00202
546.91000;0.00198
547.49000;0.00196
548.07000;0.00196
548.66000;0.00200
549.24000;0.00198
549.83000;0.00197
550.41000;0.00198
550.99000;0.00201
551.58000;0.00196
552.16000;0.00191
552.75000;0.00191
553.33000;0.00196
553.91000;0.00199
554.50000;0.00197
555.08000;0.00194
555.66000;0.00197
556.25000;0.00199
556.83000;0.00202
557.41000;0.00198
558.00000;0.00197
558.58000;0.00198
559.16000;0.00200
559.75000;0.00199
560.33000;0.00197
560.91000;0.00198
561.50000;0.00200
562.08000;0.00203
562.66000;0.00201
563.25000;0.00201
563.83000;0.00201
564.41000;0.00200
565.00000;0.00199
565.58000;0.00199
566.16000;0.00202
566.74000;0.00203
567.33000;0.00205
567.91000;0.00203
568.49000;0.00201
569.08000;0.00202
569.66000;0.00202
570.24000;0.00204
570.82000;0.00204
571.41000;0.00204
571.99000;0.00206
572.57000;0.00208
573.15000;0.00207
573.74000;0.00207
574.32000;0.00205
574.90000;0.00207
575.48000;0.00207
576.07000;0.00209
576.65000;0.00210
577.23000;0.00211
577.81000;0.00212
578.40000;0.00211
578.98000;0.00213
579.56000;0.00211
580.14000;0.00215
580.72000;0.00216
581.31000;0.00217
581.89000;0.00218
582.47000;0.00219
583.05000;0.00223
583.63000;0.00223
584.22000;0.00225
584.80000;0.00224
585.38000;0.00226
585.96000;0.00224
586.54000;0.00221
587.12000;0.00222
587.71000;0.00222
588.29000;0.00229
588.87000;0.00230
589.45000;0.00234
590.03000;0.00235
590.61000;0.00238
591.19000;0.00240
591.78000;0.00244
592.36000;0.00245
592.94000;0.00244
593.52000;0.00242
594.10000;0.00243
594.68000;0.00246
595.26000;0.00250
595.84000;0.00252
596.43000;0.00253
597.01000;0.00251
597.59000;0.00252
598.17000;0.00252
598.75000;0.00253
599.33000;0.00254
599.91000;0.00249
600.49000;0.00252
601.07000;0.00255
601.65000;0.00261
602.23000;0.00266
602.81000;0.00267
603.40000;0.00270
603.98000;0.00272
604.56000;0.00271
605.14000;0.00272
605.72000;0.00274
606.30000;0.00278
606.88000;0.00279
607.46000;0.00281
608.04000;0.00281
608.62000;0.00284
609.20000;0.00284
609.78000;0.00287
610.36000;0.00289
610.94000;0.00288
611.52000;0.00289
612.10000;0.00290
612.68000;0.00293
613.26000;0.00295
613.84000;0.00295
614.42000;0.00297
615.00000;0.00297
615.58000;0.00300
616.16000;0.00302
616.74000;0.00303
617.32000;0.00304
617.90000;0.00306
618.48000;0.00307
619.06000;0.00307
619.64000;0.00309
620.22000;0.00310
620.80000;0.00313
621.38000;0.00312
621.96000;0.00314
622.54000;0.00313
623.12000;0.00313
623.69000;0.00314
624.27000;0.00315
624.85000;0.00320
625.43000;0.00320
626.01000;0.00323
626.59000;0.00323
627.17000;0.00323
627.75000;0.00323
628.33000;0.00325
628.91000;0.00327
629.49000;0.00326
630.06000;0.00325
630.64000;0.00326
631.22000;0.00330
631.80000;0.00329
632.38000;0.00330
632.96000;0.00330
633.54000;0.00331
634.12000;0.00329
634.69000;0.00328
635.27000;0.00329
635.85000;0.00332
636.43000;0.00330
637.01000;0.00330
637.59000;0.00330
638.17000;0.00333
638.74000;0.00333
639.32000;0.00334
639.90000;0.00333
640.48000;0.00333
641.06000;0.00332
641.64000;0.00332
642.21000;0.00332
642.79000;0.00333
643.37000;0.00334
643.95000;0.00334
644.53000;0.00335
645.10000;0.00337
645.68000;0.00337
646.26000;0.00337
646.84000;0.00331
647.42000;0.00333
647.99000;0.00331
648.57000;0.00336
649.15000;0.00334
649.73000;0.00336
650.30000;0.00336
650.88000;0.00339
651.46000;0.00338
652.04000;0.00338
652.61000;0.00337
653.19000;0.00338
653.77000;0.00337
654.35000;0.00335
654.92000;0.00329
655.50000;0.00330
656.08000;0.00332
656.66000;0.00339
657.23000;0.00338
657.81000;0.00337
658.39000;0.00335
658.96000;0.00335
659.54000;0.00334
660.12000;0.00336
660.69000;0.00337
661.27000;0.00335
661.85000;0.00329
662.43000;0.00330
663.00000;0.00330
663.58000;0.00335
664.16000;0.00329
664.73000;0.00327
665.31000;0.00324
665.89000;0.00323
666.46000;0.00324
667.04000;0.00321
667.61000;0.00322
668.19000;0.00322
668.77000;0.00322
669.34000;0.00319
669.92000;0.00316
670.50000;0.00315
671.07000;0.00316
671.65000;0.00318
672.23000;0.00320
672.80000;0.00317
673.38000;0.00317
673.95000;0.00316
674.53000;0.00318
675.11000;0.00317
675.68000;0.00318
676.26000;0.00324
676.83000;0.00325
677.41000;0.00325
677.98000;0.00321
678.56000;0.00320
679.14000;0.00319
679.71000;0.00315
680.29000;0.00312
680.86000;0.00309
681.44000;0.00309
682.01000;0.00309
682.59000;0.00309
683.16000;0.00309
683.74000;0.00306
684.32000;0.00305
684.89000;0.00307
685.47000;0.00309
686.04000;0.00311
686.62000;0.00310
687.19000;0.00308
687.77000;0.00308
688.34000;0.00308
688.92000;0.00310
689.49000;0.00309
690.07000;0.00307
690.64000;0.00305
691.22000;0.00305
691.79000;0.00307
692.37000;0.00307
692.94000;0.00306
693.52000;0.00305
694.09000;0.00304
694.67000;0.00302
695.24000;0.00305
695.81000;0.00309
696.39000;0.00306
696.96000;0.00304
697.54000;0.00303
698.11000;0.00307
698.69000;0.00310
699.26000;0.00308
699.84000;0.00311
700.41000;0.00311
700.98000;0.00312
701.56000;0.00310
702.13000;0.00312
702.71000;0.00313
703.28000;0.00318
703.85000;0.00318
704.43000;0.00319
705.00000;0.00320
705.58000;0.00322
706.15000;0.00324
706.72000;0.00324
707.30000;0.00323
707.87000;0.00323
708.44000;0.00325
709.02000;0.00325
709.59000;0.00323
710.17000;0.00325
710.74000;0.00328
711.31000;0.00330
711.89000;0.00329
712.46000;0.00329
713.03000;0.00330
713.61000;0.00332
714.18000;0.00335
714.75000;0.00337
715.33000;0.00338
715.90000;0.00337
716.47000;0.00340
717.05000;0.00343
717.62000;0.00346
718.19000;0.00348
718.76000;0.00347
719.34000;0.00347
719.91000;0.00347
720.48000;0.00350
721.06000;0.00351
721.63000;0.00353
722.20000;0.00357
722.77000;0.00359
723.35000;0.00359
723.92000;0.00357
724.49000;0.00357
725.06000;0.00360
725.64000;0.00360
726.21000;0.00360
726.78000;0.00360
727.35000;0.00362
727.93000;0.00367
728.50000;0.00366
729.07000;0.00365
729.64000;0.00361
730.22000;0.00363
730.79000;0.00368
731.36000;0.00373
731.93000;0.00373
732.50000;0.00372
733.08000;0.00375
733.65000;0.00376
734.22000;0.00378
734.79000;0.00380
735.36000;0.00383
735.94000;0.00384
736.51000;0.00385
737.08000;0.00383
737.65000;0.00386
738.22000;0.00387
738.79000;0.00390
739.37000;0.00390
739.94000;0.00389
740.51000;0.00387
741.08000;0.00389
741.65000;0.00390
742.22000;0.00391
742.79000;0.00388
743.36000;0.00390
743.94000;0.00395
744.51000;0.00399
745.08000;0.00399
745.65000;0.00391
746.22000;0.00390
746.79000;0.00387
747.36000;0.00397
747.93000;0.00399
748.50000;0.00400
749.07000;0.00398
749.65000;0.00389
750.22000;0.00393
750.79000;0.00398
751.36000;0.00407
751.93000;0.00411
752.50000;0.00412
753.07000;0.00414
753.64000;0.00415
754.21000;0.00420
754.78000;0.00423
755.35000;0.00424
755.92000;0.00422
756.49000;0.00424
757.06000;0.00424
757.63000;0.00428
758.20000;0.00432
758.77000;0.00440
759.34000;0.00445
759.91000;0.00448
760.48000;0.00457
761.05000;0.00463
761.62000;0.00468
762.19000;0.00462
762.76000;0.00460
763.33000;0.00459
763.90000;0.00461
764.47000;0.00462
765.04000;0.00457
765.61000;0.00454
766.18000;0.00448
766.75000;0.00447
767.32000;0.00444
767.89000;0.00440
768.46000;0.00433
769.03000;0.00427
769.60000;0.00429
770.17000;0.00427
770.74000;0.00429
771.31000;0.00428
771.87000;0.00426
772.44000;0.00423
773.01000;0.00425
773.58000;0.00431
774.15000;0.00428
774.72000;0.00425
775.29000;0.00422
775.86000;0.00423
776.43000;0.00424
776.99000;0.00419
777.56000;0.00421
778.13000;0.00421
778.70000;0.00424
779.27000;0.00420
779.84000;0.00413
780.41000;0.00412
780.98000;0.00406
781.54000;0.00410
782.11000;0.00412
782.68000;0.00419
783.25000;0.00418
783.82000;0.00415
784.39000;0.00413
784.95000;0.00414
785.52000;0.00419
786.09000;0.00422
786.66000;0.00424
787.23000;0.00425
787.79000;0.00425
788.36000;0.00423
788.93000;0.00422
789.50000;0.00428
790.07000;0.00433
790.63000;0.00437
791.20000;0.00439
791.77000;0.00441
792.34000;0.00444
792.90000;0.00447
793.47000;0.00448
794.04000;0.00449
794.61000;0.00448
795.17000;0.00451
795.74000;0.00455
796.31000;0.00452
