"","u","s","m","l","lum"
"M2_BF_DARK_152_K176817_P1",0.0027656380859224,0.00232006982117094,0.00364003357594608,0.00367455817361528,0.00335379856388465
"M2_BF_DARK_152_K176817_P2",0.00170721814596439,0.000786341565885536,0.00331378357948325,0.00362208310797596,0.00282289676493848
"M2_BF_DARK_152_K176817_P3",0.00232753399061994,0.00117998426753927,0.0040545176713667,0.00425312802015552,0.00346580748706185
"M2_BF_DARK_152_K176817_P4",0.00176507773343186,0.00103836094021757,0.00221313722053973,0.00233015749914395,0.00198772863740282
"M2_BF_DARK_152_K176818_P1",0.00390829574517008,0.00315930248808278,0.0049949857993164,0.00496665731456013,0.00457400958755115
"M2_BF_DARK_152_K176818_P2",0.00124651812872642,0.000601157443708389,0.00244909307264782,0.0026595518583645,0.00208282427859637
"M2_BF_DARK_152_K176818_P3",0.00178242019923272,0.000728599294105962,0.00370941783627397,0.0039235821530024,0.00309622022927267
"M2_BF_DARK_152_K176818_P4",0.00217860369313266,0.0012720942411431,0.0028687162554052,0.00293476727682707,0.00253815975831429
"M2_BF_DARK_152_K176819_P1",0.00304052792759874,0.00249230446302537,0.00385975953181783,0.00384418476934593,0.00354818453386265
"M2_BF_DARK_152_K176819_P2",0.00207905380646999,0.000952647232219241,0.00385264674781386,0.00411478530381875,0.00326773018161839
"M2_BF_DARK_152_K176819_P3",0.00185826657891079,0.000828619892743516,0.00333569285493959,0.00343254720333782,0.00279226588483919
"M2_BF_DARK_152_K176819_P4",0.00218671772305041,0.00141687540997821,0.00265546333812344,0.00285075939480545,0.00243625838877383
"M1_BF_BRIG_005_K176549_P1",0.0830977903374568,0.272887618385916,0.29381513513561,0.350199456141018,0.0207921054790341
"M1_BF_BRIG_005_K176549_P2",0.0620225522326934,0.137807353723582,0.341339412050466,0.458830681993258,0.0122385362901371
"M1_BF_BRIG_005_K176549_P3",0.0526209207930255,0.124380460778259,0.346213329343274,0.476785289085441,0.0169162831924831
"M1_BF_BRIG_005_K176549_P4",0.0770046686436621,0.206366970643303,0.307067247540597,0.409561113172438,0.0093940407994293
"M1_BF_BRIG_005_K176550_P1",0.0797702168315036,0.259941650012218,0.297402669357723,0.362885463798555,0.0214872013163654
"M1_BF_BRIG_005_K176550_P2",0.0636627129435631,0.168098160623984,0.331162192116106,0.437076934316346,0.0219354436934439
"M1_BF_BRIG_005_K176550_P3",0.0574745615614459,0.134308612222508,0.34440726269524,0.463809563520805,0.0155467244170387
"M1_BF_BRIG_005_K176550_P4",0.0723044274504956,0.190398947695831,0.307186028850789,0.430110596002884,0.00710844334903136
"M1_BF_BRIG_005_K176552_P1",0.0723804284909731,0.256375527451229,0.293100237826207,0.378143806231591,0.017684876797649
"M1_BF_BRIG_005_K176552_P2",0.0579235072863868,0.139945476003611,0.344644352966721,0.457486663743281,0.0192885644571812
"M1_BF_BRIG_005_K176552_P3",0.0608398887013477,0.15228923588236,0.337412476236198,0.449458399180094,0.0225042574081291
"M1_BF_BRIG_005_K176552_P4",0.0734182306438062,0.192523018630309,0.307259073360506,0.426799677365378,0.00809126985188321
"M1_BF_BRIG_005_K176553_P1",0.0813261219680821,0.270657059576904,0.294348615752508,0.353668202702506,0.0220255520715409
